question_text,document_title,language,annotations,document_plaintext,document_url,question_text_tokenized,document_plaintext_tokenized,label,word_frequency_score
Miten Federico García Lorca kuoli?,Federico García Lorca,finnish,"{'answer_start': array([68]), 'answer_text': array(['oikeistolaiset kapinalliset murhasivat hänet'], dtype=object)}","García Lorca jäi Espanjan sisällissodan jalkoihin Granadassa, jossa oikeistolaiset kapinalliset murhasivat hänet elokuussa 1936. ",https://fi.wikipedia.org/wiki/Federico%20Garc%C3%ADa%20Lorca,"['Miten', 'Federico', 'García', 'Lorca', 'kuoli', '?']","['García', 'Lorca', 'jäi', 'Espanjan', 'sisällissodan', 'jalkoihin', 'Granadassa', ',', 'jossa', 'oikeistolaiset', 'kapinalliset', 'murhasivat', 'hänet', 'elokuussa', '1936', '.']",1,0.3333333333333333
Kuka on perustanut Ubisoft yhtiön?,Ubisoft,finnish,"{'answer_start': array([0]), 'answer_text': array(['Guillemotin perheen viisi veljestä'], dtype=object)}","Guillemotin perheen viisi veljestä perustivat Ubisoftin vuonna 1986 Ranskassa.[1] Yhtiön ensimmäisellä vuosikymmenellä myönteisiä arvosteluja julkaisuista saivat esimerkiksi tasohyppely Twinworld (1989), urheilupeli Pro Tennis Tour (1989, jatko-osa 1991), sci-fi-seikkailupeli B.A.T. (1990, jatko-osa 1992) ja sotastrategiapeli Battle Isle (1991). Teknisellä toteutuksellaan huomiota herätti toimintapeli Unreal (1990). Lisäksi Ubisoft julkaisi PC Engine -konsolin maskottipelin (tunnettu nimillä PC Kid ja Adventures of Bonk) 16-bittisille tietokoneille nimellä BC Kid (1992). Suopeat arviot saaneet pelit olivat lähinnä Amigalle ja Atari ST:lle julkaistuja. 8-bittisistä käännöksistä positiivista huomiota sai kenties eniten roolipeli Iron Lord (1989, Commodore 64:n käännös 1990)",https://fi.wikipedia.org/wiki/Ubisoft,"['Kuka', 'on', 'perustanut', 'Ubisoft', 'yhtiön', '?']","['Guillemotin', 'perheen', 'viisi', 'veljestä', 'perustivat', 'Ubisoftin', 'vuonna', '1986', 'Ranskassa.', '[', '1', ']', 'Yhtiön', 'ensimmäisellä', 'vuosikymmenellä', 'myönteisiä', 'arvosteluja', 'julkaisuista', 'saivat', 'esimerkiksi', 'tasohyppely', 'Twinworld', '(', '1989', ')', ',', 'urheilupeli', 'Pro', 'Tennis', 'Tour', '(', '1989', ',', 'jatko-osa', '1991', ')', ',', 'sci-fi-seikkailupeli', 'B.A.T.', '(', '1990', ',', 'jatko-osa', '1992', ')', 'ja', 'sotastrategiapeli', 'Battle', 'Isle', '(', '1991', ')', '.', 'Teknisellä', 'toteutuksellaan', 'huomiota', 'herätti', 'toimintapeli', 'Unreal', '(', '1990', ')', '.', 'Lisäksi', 'Ubisoft', 'julkaisi', 'PC', 'Engine', '-konsolin', 'maskottipelin', '(', 'tunnettu', 'nimillä', 'PC', 'Kid', 'ja', 'Adventures', 'of', 'Bonk', ')', '16-bittisille', 'tietokoneille', 'nimellä', 'BC', 'Kid', '(', '1992', ')', '.', 'Suopeat', 'arviot', 'saaneet', 'pelit', 'olivat', 'lähinnä', 'Amigalle', 'ja', 'Atari', 'ST', ':', 'lle', 'julkaistuja.', '8-bittisistä', 'käännöksistä', 'positiivista', 'huomiota', 'sai', 'kenties', 'eniten', 'roolipeli', 'Iron', 'Lord', '(', '1989', ',', 'Commodore', '64', ':', 'n', 'käännös', '1990', ')']",1,0.1666666666666666
Mistä tulevat kirjaimet VR?,VR-Yhtymä,finnish,"{'answer_start': array([47]), 'answer_text': array(['Valtionrautatiet'], dtype=object)}","Yhtymän tunnuskirjaimet VR on johdettu sanasta Valtionrautatiet, joka toimi vuosina 1862–1995.",https://fi.wikipedia.org/wiki/VR-Yhtym%C3%A4,"['Mistä', 'tulevat', 'kirjaimet', 'VR', '?']","['Yhtymän', 'tunnuskirjaimet', 'VR', 'on', 'johdettu', 'sanasta', 'Valtionrautatiet', ',', 'joka', 'toimi', 'vuosina', '1862–1995', '.']",1,0.2
Missä oli Suomen ensimmäinen autotehdas?,Valmet Automotive,finnish,"{'answer_start': array([158]), 'answer_text': array(['Uusikaupunki'], dtype=object)}","
Vuonna 1968 Saab-Valmetin autotehdas perustettiin ruotsalaisen Saab-Scanian ja suomalaisen valtionyhtiö Valmetin yhteisyritykseksi. Tehdaspaikaksi valittiin Uusikaupunki yli sadan paikkakunnan joukosta muun muassa hyvien kulkuyhteyksien ansiosta. Tehtaan oli myös sijaittava silloisen kehitysaluesäädännön ykköstukialueella. Saabien valmistus käynnistyi tehtaalla vuonna 1969, ja ensimmäinen lahjoitettiin tasavallan presidentti Urho Kekkoselle. Tehtaan ensimmäiseksi toimitusjohtajaksi kutsuttiin autourheilu- ja media-alalta tunnettu DI Väinö J. Nurmimaa[18]. Nurmimaa kuitenkin jätti tehtävänsä varsin pian, kun osoittautui että Saab-Scania oli keskittänyt tuottoisan autojen myynti- ja huoltotoiminnan itselleen Scan Auto Oy:n kautta.

Tehtaalla on valmistettu vuodesta 1969 alkaen Saab-, Chrysler-, Talbot-, Opel-, Lada-, Porsche-, Think-, Fisker- ja Mercedes-Benz -merkkisiä autoja. Tehdas valmisti ensimmäiset kymmenen vuotta pelkästään Saabin malleja 95, 96 ja 99, myöhemmin myös malleja 90, 900 ja 9000. Kaiken kaikkiaan Saabeja rakennettiin Uudessakaupungissa lähes 740000 kappaletta. 1980-luvulla valmistuksessa olivat Saabin ohella yksi Chrysler-malli ja saman konsernin ranskalaisen haaran Talbot. Uudenkaupungin autotehtaan rooliksi tuli 1980-luvun aikana yhä selkeämmin erikoisautojen valmistus: esimerkiksi kaikki Saabin avoautomallit vuosina 1986 - 2003 valmistettiin juuri Uudessakaupungissa. 1990-luvulla valmistuksessa olivat General Motorsin Opel Calibra ja Ladan Länsi-Euroopan markkinoita varten kehitetty versio Euro-Samara. Samaran valmistajana toimi virallisesti Euromotive-niminen yritys.",https://fi.wikipedia.org/wiki/Valmet%20Automotive,"['Missä', 'oli', 'Suomen', 'ensimmäinen', 'autotehdas', '?']","['Vuonna', '1968', 'Saab-Valmetin', 'autotehdas', 'perustettiin', 'ruotsalaisen', 'Saab-Scanian', 'ja', 'suomalaisen', 'valtionyhtiö', 'Valmetin', 'yhteisyritykseksi.', 'Tehdaspaikaksi', 'valittiin', 'Uusikaupunki', 'yli', 'sadan', 'paikkakunnan', 'joukosta', 'muun', 'muassa', 'hyvien', 'kulkuyhteyksien', 'ansiosta.', 'Tehtaan', 'oli', 'myös', 'sijaittava', 'silloisen', 'kehitysaluesäädännön', 'ykköstukialueella.', 'Saabien', 'valmistus', 'käynnistyi', 'tehtaalla', 'vuonna', '1969', ',', 'ja', 'ensimmäinen', 'lahjoitettiin', 'tasavallan', 'presidentti', 'Urho', 'Kekkoselle.', 'Tehtaan', 'ensimmäiseksi', 'toimitusjohtajaksi', 'kutsuttiin', 'autourheilu-', 'ja', 'media-alalta', 'tunnettu', 'DI', 'Väinö', 'J.', 'Nurmimaa', '[', '18', ']', '.', 'Nurmimaa', 'kuitenkin', 'jätti', 'tehtävänsä', 'varsin', 'pian', ',', 'kun', 'osoittautui', 'että', 'Saab-Scania', 'oli', 'keskittänyt', 'tuottoisan', 'autojen', 'myynti-', 'ja', 'huoltotoiminnan', 'itselleen', 'Scan', 'Auto', 'Oy', ':', 'n', 'kautta.', 'Tehtaalla', 'on', 'valmistettu', 'vuodesta', '1969', 'alkaen', 'Saab-', ',', 'Chrysler-', ',', 'Talbot-', ',', 'Opel-', ',', 'Lada-', ',', 'Porsche-', ',', 'Think-', ',', 'Fisker-', 'ja', 'Mercedes-Benz', '-merkkisiä', 'autoja.', 'Tehdas', 'valmisti', 'ensimmäiset', 'kymmenen', 'vuotta', 'pelkästään', 'Saabin', 'malleja', '95', ',', '96', 'ja', '99', ',', 'myöhemmin', 'myös', 'malleja', '90', ',', '900', 'ja', '9000.', 'Kaiken', 'kaikkiaan', 'Saabeja', 'rakennettiin', 'Uudessakaupungissa', 'lähes', '740000', 'kappaletta.', '1980-luvulla', 'valmistuksessa', 'olivat', 'Saabin', 'ohella', 'yksi', 'Chrysler-malli', 'ja', 'saman', 'konsernin', 'ranskalaisen', 'haaran', 'Talbot.', 'Uudenkaupungin', 'autotehtaan', 'rooliksi', 'tuli', '1980-luvun', 'aikana', 'yhä', 'selkeämmin', 'erikoisautojen', 'valmistus', ':', 'esimerkiksi', 'kaikki', 'Saabin', 'avoautomallit', 'vuosina', '1986', '-', '2003', 'valmistettiin', 'juuri', 'Uudessakaupungissa.', '1990-luvulla', 'valmistuksessa', 'olivat', 'General', 'Motorsin', 'Opel', 'Calibra', 'ja', 'Ladan', 'Länsi-Euroopan', 'markkinoita', 'varten', 'kehitetty', 'versio', 'Euro-Samara.', 'Samaran', 'valmistajana', 'toimi', 'virallisesti', 'Euromotive-niminen', 'yritys', '.']",1,0.5
Mihin alueeseen Fallout 3 peli sijoittuu?,Fallout 3,finnish,"{'answer_start': array([106]), 'answer_text': array(['ydinsodan jälkeinen Washington DC ja sen ympäristö,[1] jotka tunnetaan pelissä nimellä Capital Wasteland'],
      dtype=object)}","Pelin tarina sijoittuu vuoteen 2277, 36 vuotta Fallout 2 -pelin tapahtumien jälkeen. Tapahtumapaikkana on ydinsodan jälkeinen Washington DC ja sen ympäristö,[1] jotka tunnetaan pelissä nimellä Capital Wasteland. Peli julkaistiin Yhdysvalloissa 28. lokakuuta 2008, Euroopassa ja Australiassa 30. lokakuuta 2008, Yhdistyneessä kuningaskunnassa 31. lokakuuta 2008 ja Japanissa 4. joulukuuta 2008. Peli ilmestyi PlayStation 3- ja Xbox 360 -konsoleille sekä Microsoft Windowsille.",https://fi.wikipedia.org/wiki/Fallout%203,"['Mihin', 'alueeseen', 'Fallout', '3', 'peli', 'sijoittuu', '?']","['Pelin', 'tarina', 'sijoittuu', 'vuoteen', '2277', ',', '36', 'vuotta', 'Fallout', '2', '-pelin', 'tapahtumien', 'jälkeen.', 'Tapahtumapaikkana', 'on', 'ydinsodan', 'jälkeinen', 'Washington', 'DC', 'ja', 'sen', 'ympäristö', ',', '[', '1', ']', 'jotka', 'tunnetaan', 'pelissä', 'nimellä', 'Capital', 'Wasteland.', 'Peli', 'julkaistiin', 'Yhdysvalloissa', '28.', 'lokakuuta', '2008', ',', 'Euroopassa', 'ja', 'Australiassa', '30.', 'lokakuuta', '2008', ',', 'Yhdistyneessä', 'kuningaskunnassa', '31.', 'lokakuuta', '2008', 'ja', 'Japanissa', '4.', 'joulukuuta', '2008.', 'Peli', 'ilmestyi', 'PlayStation', '3-', 'ja', 'Xbox', '360', '-konsoleille', 'sekä', 'Microsoft', 'Windowsille', '.']",1,0.2857142857142857
Mistä Punainen lohikäärme -elokuva kertoo?,Punainen lohikäärme,finnish,"{'answer_start': array([15]), 'answer_text': array(['FBI-agentti Will Grahamista, joka joutuu pyytämään apua vankimielisairaalassa tuomiotaan istuvalta kannibalistiselta sarjamurhaajalta Hannibal Lecteriltä saadakseen kiinni ”Hammaskeijuna” tunnetun sarjamurhaajan'],
      dtype=object)}","Elokuva kertoo FBI-agentti Will Grahamista, joka joutuu pyytämään apua vankimielisairaalassa tuomiotaan istuvalta kannibalistiselta sarjamurhaajalta Hannibal Lecteriltä saadakseen kiinni ”Hammaskeijuna” tunnetun sarjamurhaajan. Tapahtumiltaan Punainen lohikäärme sijoittuu aikaan ennen muita Hannibal Lecteriin pohjautuvia elokuvia, Uhrilampaita (1991) ja Hannibalia (2001).",https://fi.wikipedia.org/wiki/Punainen%20lohik%C3%A4%C3%A4rme,"['Mistä', 'Punainen', 'lohikäärme', '-elokuva', 'kertoo', '?']","['Elokuva', 'kertoo', 'FBI-agentti', 'Will', 'Grahamista', ',', 'joka', 'joutuu', 'pyytämään', 'apua', 'vankimielisairaalassa', 'tuomiotaan', 'istuvalta', 'kannibalistiselta', 'sarjamurhaajalta', 'Hannibal', 'Lecteriltä', 'saadakseen', 'kiinni', '”Hammaskeijuna”', 'tunnetun', 'sarjamurhaajan.', 'Tapahtumiltaan', 'Punainen', 'lohikäärme', 'sijoittuu', 'aikaan', 'ennen', 'muita', 'Hannibal', 'Lecteriin', 'pohjautuvia', 'elokuvia', ',', 'Uhrilampaita', '(', '1991', ')', 'ja', 'Hannibalia', '(', '2001', ')', '.']",1,0.5
Milloin Suomessa esitettiin Simpsons-animaatiosarja ensimmäisen kerran?,Simpsonit,finnish,"{'answer_start': array([55]), 'answer_text': array(['26. elokuuta 1991'], dtype=object)}",Suomessa Simpsonit nähtiin ensi kertaa Kolmoskanavalla 26. elokuuta 1991.[70] Jaksojen esitysjärjestyksessä siirryttiin alun jälkeen Yhdysvaltojen esitysjärjestykseen. Vuodesta 1993 lähtien televisiouudistuksen yhteydessä sarjan esittäminen siirtyi MTV3-kanavalle. Vuoden 2010 kevätkaudella Simpsonit siirtyivät kokonaan Subille.[71] Uudet jaksot esitetään Suomessa yleensä puolesta puolentoista vuoden viiveellä alkuperäiseen USA:n esitysajankohtaan verrattuna.,https://fi.wikipedia.org/wiki/Simpsonit,"['Milloin', 'Suomessa', 'esitettiin', 'Simpsons-animaatiosarja', 'ensimmäisen', 'kerran', '?']","['Suomessa', 'Simpsonit', 'nähtiin', 'ensi', 'kertaa', 'Kolmoskanavalla', '26.', 'elokuuta', '1991.', '[', '70', ']', 'Jaksojen', 'esitysjärjestyksessä', 'siirryttiin', 'alun', 'jälkeen', 'Yhdysvaltojen', 'esitysjärjestykseen.', 'Vuodesta', '1993', 'lähtien', 'televisiouudistuksen', 'yhteydessä', 'sarjan', 'esittäminen', 'siirtyi', 'MTV3-kanavalle.', 'Vuoden', '2010', 'kevätkaudella', 'Simpsonit', 'siirtyivät', 'kokonaan', 'Subille.', '[', '71', ']', 'Uudet', 'jaksot', 'esitetään', 'Suomessa', 'yleensä', 'puolesta', 'puolentoista', 'vuoden', 'viiveellä', 'alkuperäiseen', 'USA', ':', 'n', 'esitysajankohtaan', 'verrattuna', '.']",1,0.1428571428571428
Missä Oliver Wolf Sacks kuoli?,Oliver Sacks,finnish,"{'answer_start': array([77]), 'answer_text': array(['New York, Yhdysvallat'], dtype=object)}","
Oliver Wolf Sacks (9. heinäkuuta 1933 Lontoo, Britannia – 30. elokuuta 2015 New York, Yhdysvallat[1]) oli neurologian professori, joka tunnettiin tieteenalansa popularisoijana. Hän kirjoitti kliinisiä tapauskertomuksia helposti ymmärrettävällä, välillä lähes anekdoottimaisella tyylillä mutta tieteellisyydestä tinkimättä. Sacks osasi nähdä neurologiset oireet inhimillisessä valossa ja kirjoittaa niistä elävästi. Hän pyrki ”inhimillistämään” nykyajan lääketiedettä selvittämällä jokaisen sairauden takaa kunkin yksilön kohtalon ja kyseenalaistamalla ns. normaaliuden ja sairauden välisiä rajoja.",https://fi.wikipedia.org/wiki/Oliver%20Sacks,"['Missä', 'Oliver', 'Wolf', 'Sacks', 'kuoli', '?']","['Oliver', 'Wolf', 'Sacks', '(', '9.', 'heinäkuuta', '1933', 'Lontoo', ',', 'Britannia', '–', '30.', 'elokuuta', '2015', 'New', 'York', ',', 'Yhdysvallat', '[', '1', ']', ')', 'oli', 'neurologian', 'professori', ',', 'joka', 'tunnettiin', 'tieteenalansa', 'popularisoijana.', 'Hän', 'kirjoitti', 'kliinisiä', 'tapauskertomuksia', 'helposti', 'ymmärrettävällä', ',', 'välillä', 'lähes', 'anekdoottimaisella', 'tyylillä', 'mutta', 'tieteellisyydestä', 'tinkimättä.', 'Sacks', 'osasi', 'nähdä', 'neurologiset', 'oireet', 'inhimillisessä', 'valossa', 'ja', 'kirjoittaa', 'niistä', 'elävästi.', 'Hän', 'pyrki', '”inhimillistämään”', 'nykyajan', 'lääketiedettä', 'selvittämällä', 'jokaisen', 'sairauden', 'takaa', 'kunkin', 'yksilön', 'kohtalon', 'ja', 'kyseenalaistamalla', 'ns.', 'normaaliuden', 'ja', 'sairauden', 'välisiä', 'rajoja', '.']",1,0.5
Milloin Tanska on perustettu?,Tanskan historia,finnish,"{'answer_start': array([147]), 'answer_text': array(['viikinkiajan kuluessa'], dtype=object)}","
Tanskassa on ollut pysyvää asutusta 11000-luvulta eaa. alkaen. Maataloudesta tuli tärkeä elinkeino 3000-luvulla eaa. Tanskan valtakunta muodostui viikinkiajan kuluessa. 1400-luvulla Tanska ja Norja yhdistyivät. Tanska oli pitkään Pohjois-Euroopan voimakkain valtio, mutta menetti 1600-luvulla asemansa Ruotsille. Tanskan ja Ruotsin viimeinen sota käytiin vuonna 1812, jolloin Tanska menetti Norjan. 1900-luvun alussa Tanska noudatti puolueettomuuspolitiikkaa, mutta joutui vuosina 1940–1945 Saksan miehittämäksi. Nykyisin Tanska on pohjoismaisen mallin mukainen hyvinvointivaltio sekä Naton ja EU:n jäsen.",https://fi.wikipedia.org/wiki/Tanskan%20historia,"['Milloin', 'Tanska', 'on', 'perustettu', '?']","['Tanskassa', 'on', 'ollut', 'pysyvää', 'asutusta', '11000-luvulta', 'eaa.', 'alkaen.', 'Maataloudesta', 'tuli', 'tärkeä', 'elinkeino', '3000-luvulla', 'eaa.', 'Tanskan', 'valtakunta', 'muodostui', 'viikinkiajan', 'kuluessa.', '1400-luvulla', 'Tanska', 'ja', 'Norja', 'yhdistyivät.', 'Tanska', 'oli', 'pitkään', 'Pohjois-Euroopan', 'voimakkain', 'valtio', ',', 'mutta', 'menetti', '1600-luvulla', 'asemansa', 'Ruotsille.', 'Tanskan', 'ja', 'Ruotsin', 'viimeinen', 'sota', 'käytiin', 'vuonna', '1812', ',', 'jolloin', 'Tanska', 'menetti', 'Norjan.', '1900-luvun', 'alussa', 'Tanska', 'noudatti', 'puolueettomuuspolitiikkaa', ',', 'mutta', 'joutui', 'vuosina', '1940–1945', 'Saksan', 'miehittämäksi.', 'Nykyisin', 'Tanska', 'on', 'pohjoismaisen', 'mallin', 'mukainen', 'hyvinvointivaltio', 'sekä', 'Naton', 'ja', 'EU', ':', 'n', 'jäsen', '.']",1,0.4
Mikä on Indianan pääkaupunki?,Indiana,finnish,"{'answer_start': array([24]), 'answer_text': array(['Indianapolis'], dtype=object)}","Indianan pääkaupunki on Indianapolis. Muita suuria kaupunkeja ovat Fort Wayne, Evansville ja South Bend.[1]",https://fi.wikipedia.org/wiki/Indiana,"['Mikä', 'on', 'Indianan', 'pääkaupunki', '?']","['Indianan', 'pääkaupunki', 'on', 'Indianapolis.', 'Muita', 'suuria', 'kaupunkeja', 'ovat', 'Fort', 'Wayne', ',', 'Evansville', 'ja', 'South', 'Bend.', '[', '1', ']']",1,0.6
Paljonko Jehovalaisia uusia kastettuja arvioidaan olevan vuosittain?,Jehovan todistajat,finnish,"{'answer_start': array([41]), 'answer_text': array(['250000–300000'], dtype=object)}","
Maailmanlaajuisesti uusia kastettuja on 250000–300000 vuosittain. Vuonna 2014 kastettiin 275581 jäsentä.[22] Aktiivisten julistajien kuukausittaiseksi huipuksi ilmoitetaan vuonna 2015 yli 8,2 miljoonaa, ja heitä oli 240 maassa. Julistajat raportoivat saarnaamistyötä kautta maailman 1933473968 tuntia. He johtivat keskimäärin 9708968:aa maksutonta raamatuntutkiskelua.[23]",https://fi.wikipedia.org/wiki/Jehovan%20todistajat,"['Paljonko', 'Jehovalaisia', 'uusia', 'kastettuja', 'arvioidaan', 'olevan', 'vuosittain', '?']","['Maailmanlaajuisesti', 'uusia', 'kastettuja', 'on', '250000–300000', 'vuosittain.', 'Vuonna', '2014', 'kastettiin', '275581', 'jäsentä.', '[', '22', ']', 'Aktiivisten', 'julistajien', 'kuukausittaiseksi', 'huipuksi', 'ilmoitetaan', 'vuonna', '2015', 'yli', '8,2', 'miljoonaa', ',', 'ja', 'heitä', 'oli', '240', 'maassa.', 'Julistajat', 'raportoivat', 'saarnaamistyötä', 'kautta', 'maailman', '1933473968', 'tuntia.', 'He', 'johtivat', 'keskimäärin', '9708968', ':', 'aa', 'maksutonta', 'raamatuntutkiskelua.', '[', '23', ']']",1,0.25
Kuka löysi Egtvedin tyttön?,Egtvedin tyttö,finnish,"{'answer_start': array([45]), 'answer_text': array(['Peter Platz'], dtype=object)}","



Helmikuussa 1921 egtvediläinen viljelijä Peter Platz oli tasoittamassa pellollaan olevaa hautakumpua. Tätä tehdessään hän kohtasi kummun itäreunassa tukkipuun, jota hän alkoi epäillä haudan sisärakenteeksi. Hän keskeytti työnsä ja ilmoitti löydöstään kirjeitse Tanskan kansallismuseoon Köpenhaminaan. Paikalle saapui vanhempi arkeologi Thomas Thomsen, joka totesi rakennelman olevan varhaispronssikautinen hautakumpu. Edellisestä tammiarkkuisesta löydöstä oli kulunut jo kolme vuosikymmentä, joten arkku haluttiin tutkia hyvin ja se siirrettiin sellaisenaan kansallismuseoon. Siellä sen tutkivat arkeologi Thomsen ja konsenvaattorit Gustav Rosenberg ja Julius Raklev. Heidän perusteellinen tutkimus ja löydösten varovainen konservointi on mahdollistanut nykyiset, 100 vuotta myöhäisemmät, lisätutkimukset.[5][1]",https://fi.wikipedia.org/wiki/Egtvedin%20tytt%C3%B6,"['Kuka', 'löysi', 'Egtvedin', 'tyttön', '?']","['Helmikuussa', '1921', 'egtvediläinen', 'viljelijä', 'Peter', 'Platz', 'oli', 'tasoittamassa', 'pellollaan', 'olevaa', 'hautakumpua.', 'Tätä', 'tehdessään', 'hän', 'kohtasi', 'kummun', 'itäreunassa', 'tukkipuun', ',', 'jota', 'hän', 'alkoi', 'epäillä', 'haudan', 'sisärakenteeksi.', 'Hän', 'keskeytti', 'työnsä', 'ja', 'ilmoitti', 'löydöstään', 'kirjeitse', 'Tanskan', 'kansallismuseoon', 'Köpenhaminaan.', 'Paikalle', 'saapui', 'vanhempi', 'arkeologi', 'Thomas', 'Thomsen', ',', 'joka', 'totesi', 'rakennelman', 'olevan', 'varhaispronssikautinen', 'hautakumpu.', 'Edellisestä', 'tammiarkkuisesta', 'löydöstä', 'oli', 'kulunut', 'jo', 'kolme', 'vuosikymmentä', ',', 'joten', 'arkku', 'haluttiin', 'tutkia', 'hyvin', 'ja', 'se', 'siirrettiin', 'sellaisenaan', 'kansallismuseoon.', 'Siellä', 'sen', 'tutkivat', 'arkeologi', 'Thomsen', 'ja', 'konsenvaattorit', 'Gustav', 'Rosenberg', 'ja', 'Julius', 'Raklev.', 'Heidän', 'perusteellinen', 'tutkimus', 'ja', 'löydösten', 'varovainen', 'konservointi', 'on', 'mahdollistanut', 'nykyiset', ',', '100', 'vuotta', 'myöhäisemmät', ',', 'lisätutkimukset.', '[', '5', ']', '[', '1', ']']",1,0.0
Minä vuonna ensimmäinen leija on keksitty?,Ilmailun historia,finnish,"{'answer_start': array([122]), 'answer_text': array(['400-luvulla eaa'], dtype=object)}","Leija on ehkä ollut ensimmäinen ihmisen rakentama lentolaite. Se keksittiin Kiinassa todennäköisesti niinkin varhain kuin 400-luvulla eaa. ja keksijöinä mainitaan Mozi (Mo Di) ja Lu Ban (Gongshu Ban). Myöhemmät leijat usein jäljittelivät lentäviä hyönteisiä, lintuja ja petoja, niin todellisia kuin myyttisiä. Joitakin varustettiin jousilla ja pilleillä tuottamaan musikaalista ääntä lentäessään. Muinaiset ja keskiaikaiset Kiinalaiset kirjalliset lähteet kertovat leijoja käytetyn etäisyyksien mittaamiseen, tuulen testaamiseen, miesten nostamiseen ja viestintään.",https://fi.wikipedia.org/wiki/Ilmailun%20historia,"['Minä', 'vuonna', 'ensimmäinen', 'leija', 'on', 'keksitty', '?']","['Leija', 'on', 'ehkä', 'ollut', 'ensimmäinen', 'ihmisen', 'rakentama', 'lentolaite.', 'Se', 'keksittiin', 'Kiinassa', 'todennäköisesti', 'niinkin', 'varhain', 'kuin', '400-luvulla', 'eaa.', 'ja', 'keksijöinä', 'mainitaan', 'Mozi', '(', 'Mo', 'Di', ')', 'ja', 'Lu', 'Ban', '(', 'Gongshu', 'Ban', ')', '.', 'Myöhemmät', 'leijat', 'usein', 'jäljittelivät', 'lentäviä', 'hyönteisiä', ',', 'lintuja', 'ja', 'petoja', ',', 'niin', 'todellisia', 'kuin', 'myyttisiä.', 'Joitakin', 'varustettiin', 'jousilla', 'ja', 'pilleillä', 'tuottamaan', 'musikaalista', 'ääntä', 'lentäessään.', 'Muinaiset', 'ja', 'keskiaikaiset', 'Kiinalaiset', 'kirjalliset', 'lähteet', 'kertovat', 'leijoja', 'käytetyn', 'etäisyyksien', 'mittaamiseen', ',', 'tuulen', 'testaamiseen', ',', 'miesten', 'nostamiseen', 'ja', 'viestintään', '.']",1,0.2857142857142857
Milloin SF films perustettiin?,SF Studios,finnish,"{'answer_start': array([68]), 'answer_text': array(['27. joulukuuta 1919'], dtype=object)}",SF Studios on merkittävä ruotsalainen elokuvayhtiö. Se perustettiin 27. joulukuuta 1919 yhdistämällä Svenska Bio ja Filmindustri AB Skandia.[1] Pääomistajana on ollut Bonnier-konserni vuodesta 1983.[1] Svensk Filmindustri on tuottanut monia Ruotsin elokuvan klassikkoteoksia ja sen studiot ovat sijainneet Filmstadenissa Solnan kunnassa. Vuonna 1998 SF jaettiin kahdeksi erilliseksi yhtiöksi: SF valmistaa ja levittää elokuvia sekä SF Bio omistaa elokuvateattereita.[1] Vuonna 2016 yhtiö otti käyttöönsä nimen SF Studios. Muutoksesta huolimatta yrityksen rekisteröity nimi on edelleen AB Svensk Filmindustri.,https://fi.wikipedia.org/wiki/SF%20Studios,"['Milloin', 'SF', 'films', 'perustettiin', '?']","['SF', 'Studios', 'on', 'merkittävä', 'ruotsalainen', 'elokuvayhtiö.', 'Se', 'perustettiin', '27.', 'joulukuuta', '1919', 'yhdistämällä', 'Svenska', 'Bio', 'ja', 'Filmindustri', 'AB', 'Skandia.', '[', '1', ']', 'Pääomistajana', 'on', 'ollut', 'Bonnier-konserni', 'vuodesta', '1983.', '[', '1', ']', 'Svensk', 'Filmindustri', 'on', 'tuottanut', 'monia', 'Ruotsin', 'elokuvan', 'klassikkoteoksia', 'ja', 'sen', 'studiot', 'ovat', 'sijainneet', 'Filmstadenissa', 'Solnan', 'kunnassa.', 'Vuonna', '1998', 'SF', 'jaettiin', 'kahdeksi', 'erilliseksi', 'yhtiöksi', ':', 'SF', 'valmistaa', 'ja', 'levittää', 'elokuvia', 'sekä', 'SF', 'Bio', 'omistaa', 'elokuvateattereita.', '[', '1', ']', 'Vuonna', '2016', 'yhtiö', 'otti', 'käyttöönsä', 'nimen', 'SF', 'Studios.', 'Muutoksesta', 'huolimatta', 'yrityksen', 'rekisteröity', 'nimi', 'on', 'edelleen', 'AB', 'Svensk', 'Filmindustri', '.']",1,0.4
